LocID,Period,Year,Trajectory,Mig
246,2030,2030,144,0.00207
246,2031,2031,144,0.00042
246,2032,2032,144,0.00217
246,2033,2033,144,0.00207
246,2034,2034,144,-0.00031
246,2035,2035,144,4e-05
246,2036,2036,144,-0.00183
246,2037,2037,144,0.00149
246,2038,2038,144,0.00182
246,2039,2039,144,0.00449
246,2040,2040,144,8e-04
246,2041,2041,144,-0.00046
246,2042,2042,144,0.00041
246,2043,2043,144,-0.00036
246,2044,2044,144,-0.00171
246,2045,2045,144,-8e-05
246,2046,2046,144,0.0028
246,2047,2047,144,0.00381
246,2048,2048,144,0.00427
246,2049,2049,144,0.00012
246,2050,2050,144,0.00054
246,2051,2051,144,0.00044
246,2052,2052,144,-0.00126
246,2053,2053,144,0.00138
246,2054,2054,144,0.00385
246,2055,2055,144,0.00304
246,2056,2056,144,0.00337
246,2057,2057,144,0.00499
246,2058,2058,144,0.00643
246,2059,2059,144,0.00506
246,2060,2060,144,0.00651
246,2061,2061,144,0.00858
246,2062,2062,144,0.00676
246,2063,2063,144,0.00883
246,2064,2064,144,0.00657
246,2065,2065,144,0.00455
246,2066,2066,144,0.00245
246,2067,2067,144,0.00247
246,2068,2068,144,0.00245
246,2069,2069,144,0.00214
246,2070,2070,144,0.0012
246,2071,2071,144,0.00054
246,2072,2072,144,0.00379
246,2073,2073,144,0.00121
246,2074,2074,144,0.00263
246,2075,2075,144,0.00526
246,2076,2076,144,0.00525
246,2077,2077,144,0.0057
246,2078,2078,144,0.00398
246,2079,2079,144,0.00121
246,2080,2080,144,0.00219
246,2081,2081,144,0.00293
246,2082,2082,144,-9e-04
246,2083,2083,144,-0.00123
246,2084,2084,144,-0.00029
246,2085,2085,144,-0.00077
246,2086,2086,144,-0.00174
246,2087,2087,144,-0.00078
246,2088,2088,144,-0.00022
246,2089,2089,144,0.00293
246,2090,2090,144,6e-04
246,2091,2091,144,-0.00035
246,2092,2092,144,-0.00139
246,2093,2093,144,-0.00277
246,2094,2094,144,-0.00254
246,2095,2095,144,-0.00137
246,2096,2096,144,-0.00261
246,2097,2097,144,-0.00075
246,2098,2098,144,0.00087
246,2099,2099,144,0.001
246,2100,2100,144,-2e-04
246,2023,2023,164,0.00685
246,2024,2024,164,0.00688
246,2025,2025,164,0.00598
246,2026,2026,164,0.0091
246,2027,2027,164,0.0078
246,2028,2028,164,0.00188
246,2029,2029,164,0.00367
246,2030,2030,164,0.00667
246,2031,2031,164,0.00775
246,2032,2032,164,0.0069
246,2033,2033,164,0.00456
246,2034,2034,164,0.00372
246,2035,2035,164,0.00098
246,2036,2036,164,0.00026
246,2037,2037,164,0.001
246,2038,2038,164,0.00216
246,2039,2039,164,-0.00078
246,2040,2040,164,0.00051
246,2041,2041,164,-0.00234
246,2042,2042,164,-0.00275
246,2043,2043,164,-0.00262
246,2044,2044,164,-0.00274
246,2045,2045,164,-0.00295
246,2046,2046,164,-0.00319
246,2047,2047,164,-0.00164
246,2048,2048,164,-0.00028
246,2049,2049,164,-0.00275
246,2050,2050,164,-0.00286
246,2051,2051,164,-0.00191
246,2052,2052,164,-0.00389
246,2053,2053,164,-0.00921
246,2054,2054,164,-0.00949
246,2055,2055,164,-0.01195
246,2056,2056,164,-0.01146
246,2057,2057,164,-0.01005
